Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\activeds.tlb","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Microsoft (R) ActiveDS Typelib","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","5A963144A700196F82D15367C4727199","1CF40F35687B63790EF843022F885A169FB5D1EA","ED8C5DE57C86285D52A4E696855C69C63B97DE3B","8F5954FC533ED35CA5C42F642CEF66151FA4E1C0DD97BA704C91096298057B85","C7FA805738EBBE8F157A3D0E50F4396BD5B0E6087645F5E6E7F9D41336D961BB","n/a"
"c:\windows\system32\ActiveSockets.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ActiveSockets Module","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","6BD5C251BFB7CE09DEDC3777709FF780","A39845F8DC5AE217DEA8F739B37639EDBC877E52","257194F5CCBC8D724D6FA2EA2098A518B157C5D9","51B80D63C50B0498E781B4CB9BED2F6AD8B6A0D4DCC586C88DE7E94A0F47A2EC","568A3CA92D4C328656FE938FE5F5086890CF6671AE4A5698D054BED37AFAD850","D1CAA123C8C98F5B5317CB60D033B7B5"
"c:\windows\system32\actxprxy.dll","Signed","12:38 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","ActiveX Interface Marshaling Library","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","EEB074B2C0282AAE03ED54361DE23946","650FF3F55D1471D4329904C479F6931E167FBBE4","92804F644BABF2D683ED56920DEBF28AF7FB096B","D6392654ECDE208545D8E9B8DA449F46216D464F6FDB730369158DF84423A549","081007D5FF0B1A7D011A456B78DD401E100CC5D93937A31F00EF44D1362CBBC9","2917CE419D61B93B74419ABC01288440"
"c:\windows\system32\adhapi.dll","Signed","12:29 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","AD harvest sites and subnets API","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","9B95FCB49595A869F27034916382FE57","49B241AEA9B32C287ED2D425D4805CA4F51B6D8D","2BA9305076FA5DD78C76878C71793DFB978FD71D","E0AE1FA08E09A820CEA7E15B49C09F82DAB0BF9A11679931D4A848CDF453ECCF","C9C98C5837D4562CF706B96C4B25AD264E3CA65BD442090F6093C235E1B7AE5E","4395633EE36E69FC9A83734A84D0D64B"
"c:\windows\system32\adhsvc.dll","Signed","12:29 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","AD Harvest Sites and Subnets Service","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","1B8B4F73EE08B5A6EC5A70C96DA90667","E27DD3223AA7F74547FD857FB4DEB9F0702DCC53","A1F24BFEF65E3871B6C3073FF3906191E5F67AB6","C81071D795E7F4811A75925DB089D7FF0B5F1C781E0A691B7AC0695FFBE5AADE","0C93947BC6326D1DC044D8A8198EF81B053EA2131E1F3217AAA050F456140E70","F9A5B3CC88D236D4BB92C90088E3BAC2"
"c:\windows\system32\AdmTmpl.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Administrative Templates Extension","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","D62192ADF48572608FF46CA138B9DC29","6286A241C9817DC0F53D4368809842F346507AB9","CF9205C5B981675D2CBFC5EDC40AC65501D2AEE5","D18F3FD4EA83321EEDA55E29B773C53075032EDEBA655DF1A3D4C43299B5700A","1FB01EE4DCCAE6D141B43C1068964887A6138D84C62D50641D9AB546358546A6","25E1FB0C2926AB150BF4C92E5D596912"
"c:\windows\system32\adprep.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","NT5DS","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","13DB5D7006FF954DEB5E0CAF2D1ADCC4","7ABDA94E5188A95ACABCBB95A4CB8D6643024BF1","A5E1566632F76A0B1E39642B6F611BD3E5CD4814","3B5059DC8A0B5B0F23E5AC16F02E317B803E72B51C4278523D71D909FE5AC681","2BF2F397F6A0F03F52CA6D85AEE72CCE151A13257EE79AB36D787A87B6FDA77C","28B96CC470BC8701989CB4985A63A3F1"
"c:\windows\system32\adprop.dll","Signed","7:55 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Windows Active Directory Domain Services Admin Property Pages","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","6FCFD5C2BF21D6E4F8328BDF58F9FE59","8B345395A724E478201BC7E8A89BE0FBBE900921","12570978B31099F1B902EC4A899325F7564C8CF5","F940BE8F3323931483BBF63DE48FF1237957280870C35FC67B41F8A25A539075","04E383E64BB4A16A5989C6F3EC79950D60CCBED00FD4613CD5793DC5AB56D30C","F98314B3FE8F62622814C4CB5AF292C1"
"c:\windows\system32\adprovider.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","adprovider DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","C7ED149FCB5E6DB46534D9F67750381F","7EB6BD25F171F8073F7AEC51C36822FAAB9606D3","A89045E878E95D196B7FEFF0B6AA32DF75A6B25F","14397319486CF6ABD0EF2E6646065875C7259A15B63FD789BEA186EB7D50616D","BB4088AE20A3C5C5F45708CB4187871F24F0F8B92C3176EFDB26F5CDFE996845","CBC591CCB6C81ED0ACCE557E44EA80DE"
"c:\windows\system32\adsiedit.dll","Signed","7:55 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADSI Edit","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","41F23A516864B668491F76BB80AA68B2","32EDC6D93C9B94E250F8C9683B16E935B50CCE92","E82B4768CBDE29958B36240FA7940BCE94675549","543D8564B91362AB0FCC4AFF3A92BB70DF1B3AE2478ABD476CE627145B908EE3","935FFBE200B61FE2556C3059B5119BF1BD3E3B16C8D26D63FD401EBA2BCB3AB8","9C77D21D5235D83E158E520EBECEED76"
