Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\ActionQueue.dll","Signed","2:37 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Unattend Action Queue Generator / Executor","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","EB3E45B0F5C5743863C86F38E8CDC151","A367EAB21463F34FF308A5C4D693B430A6704F2A","98729091AF89B9471ED42F5B27BE799730AAA54C","9C87B713251097FAEC3126FEAF30CCEAE502BEBC822B59153615B7D7504925A3","BE9F1B1D76E59726D8EC88AD2363319C34D7D1755C3A545220B3CBA5E50929E7","511E4EF2ADA56F80AFC61595524585A8"
"c:\windows\system32\activeds.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","ADs Router Layer DLL","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","011F0B067E47612F57C4ECE377D9C9DF","C61B06F72BC395A4891F5F4ADB0658845CAD03FF","68E495E706BDC7335351B80F362BBCC2C1C47E05","107FF1345F8F5EC9770DD3BE962AA51160315A119CEEA1EE041FE5DFA837D69A","69FA7230B889DA09CD4DDA0D38CA1D418E48605535D7E1125050F0B89919DFBE","140E440B539608D06F52C529C0B19426"
"c:\windows\system32\activeds.tlb","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Microsoft (R) ActiveDS Typelib","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","13DEE36ED9A26E8891FDDA0E16DF33CB","55F1AFB45E3E725EB17BC8D5A114070F9E1416A1","2CC50B03860016E65345026EA3CE8ABAF5BD4D8D","BBDED36D445B55E501BDA52BDB0CC065F87DF3AC0CB68D4EF41ADDF5A666DE3B","4222A862C5AAB485FF720320C2B2947587709277589EDB3BFA3605E94F9A0CA7","n/a"
"c:\windows\system32\actxprxy.dll","Signed","7:50 PM 11/11/2018","Microsoft Windows","Microsoft Corporation","ActiveX Interface Marshaling Library","Microsoft® Windows® Operating System","6.1.7601.24000","6.1.7601.24000 (win7sp1_ldr.171231-1547)","64-bit","8F8FE1115D56F601EBB707B353DA6030","84A1E4CA25440930F555B5F7D7BAAE01C58AFAE0","141B7E1641DCE9AAD0158D8096799324352D6904","186F1B489F4023219F6C7C963792294CA9D6EDC169AC6D6E7C38A542CBA43AE2","C9905199B40A3D2233C8271B7BE3248CD2A3EA4C92B3F66C36EC565B4B4A1877","53F2C3EAEAA6E619E0CCD6E671E96145"
"c:\windows\system32\AdapterTroubleshooter.exe","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Troubleshoot Display Adapter","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","D4170C9FF5B2F85B0CE0246033D26919","A76118E8775E16237CF00F2FB79718BE0DC84DB1","90DE4FBC38E149D74F62B25238A9F080AFF75CAD","02C2FA7FFFBFCF22166BE3F27BC0B6D7B0D47F9805A1B9F3BEFE9F02B76DB530","D05E010A2570CDD5A67F62C99483AEEECB6A8D5ECC523CD49B158A460C9BE5DA","33E0880B30BCE82EC72CD533667A717B"
"c:\windows\system32\AdmTmpl.dll","Signed","2:33 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Administrative Templates Extension","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","C0EB0E804F596CC1C7283D2D7FF980E7","EC4E34768A3CD4646643FB88C49CD52BD9697644","16AB7E1E1F44416D42FFBDA280B9E98EF9C6AAAF","E400F8801C5C25EF6D1BD2C45ABF7F6B234AAB41863E2C225F51B9D3F6E8A254","A337DA61C009240FF8EF4F30A81AD3011473FCA3D21A4D17748F66031DFBB7B7","BE73A8CCD7477223B996FE9A55189BAA"
"c:\windows\system32\adprovider.dll","Signed","3:10 PM 4/14/2014","Microsoft Windows","Microsoft Corporation","adprovider DLL","Microsoft® Windows® Operating System","6.1.7601.18409","6.1.7601.18409 (win7sp1_gdr.140303-2144)","64-bit","692E9886B2A475684F7E3294BF66E97D","6AD2654A415E372CA4A221C19F24833E3B74E6B9","2BF3159C91F000EBA3222601A09D1DE431972507","45472B8FB3DA708E66ED192D9F5AA72603D3A0537FD170140462D7766E6CE53B","0C3F8FEE25D6372A314865571DC2BE6F5F67499D52E6E784B24A70C6E9BFCF8E","76799F7E1FB2B26AFE3834545FE89173"
"c:\windows\system32\adsldp.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider DLL","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","B079C2629E54EF8C82F3644CE6C9BFFC","B897079C0D3EA728046A9B41C61131BC4A205483","EB7BEBDEF4DC986CD8491EDA555BAEC0FB02AD40","499669294A19096D6D09F64894DC5A1DE61FEFEC76C7621E4CE1D2611D7A902E","43E4BAC336EBDB1A922505DEAD48F2B39ABC3ECA1EE0E2C00FF58BD6DD0996EE","8212E2E57FFE7D9B80660ED865022B49"
"c:\windows\system32\adsldpc.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider C DLL","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","05F620B4B2E7DEB9409C0C6A4FEDD2A4","5ED47B28931ED13ACA9A8105660D3743D85BE5E8","269328136949C71C2A90E054AACB0DF315158266","4B39EDCE68300048EB762FE34C74820B33552071A67C66CBD3DC493EA601BDAC","19C5EBCE5F4B574402F0F4802C93824B0763DD2C972E146E26B85C0960A05185","8D0004DAD2679536EC79355E9C391374"
"c:\windows\system32\adsmsext.dll","Signed","1:20 AM 11/30/2017","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider DLL","Microsoft® Windows® Operating System","6.1.7601.23545","6.1.7601.23545 (win7sp1_ldr.160912-1137)","64-bit","9880BD74BE764D04F303C03DB821FD7A","5033EF403EBE69700573B1B9D834BA7A6D907230","3E685714A79BC8E4FADB5383F35C49302D50556E","1AC0B6A1E98B1E774B10BBF48BC3F7DC3768D12963123B738EF98A6C76C29DEF","5361610CABE03B347033A9C0A8ABDDB75A7656C8D0A9DA50B67377DDAD70D2AC","11254D4BAF8F692AC0DFCEB4F680DAB6"
"c:\windows\system32\adsnt.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","ADs Windows NT Provider DLL","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","75DB69BA8484879885896C8570DF1424","7DEC4EC106FE90BB593A068C1AC67D73976487AD","6F86B9663BC727339127EEBF251A4864398B7586","E07C35C0802E482424C6F3123AB39DFA1EA1E4FCBA7D9DA65E3112558F3D294D","9EBB019FE02C98CB09C1DC8B76E677C74354A98EA1372F4B5F2DE7FE5D76EA4E","FE83449A518188964CCE22DA84702C7D"
"c:\windows\system32\adtschema.dll","Signed","5:47 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Security Audit Schema DLL","Microsoft® Windows® Operating System","6.1.7601.24520","6.1.7601.24520 (win7sp1_ldr_escrow.190828-1732)","64-bit","3A742DABF22527F9348BCC7A1F1E0DE5","0BF7028A654D46BA8C70263F4A31F41DF83C3E68","BC47E7968CA70E4785B0A8EDA1FE121BD079A13E","647298D503AD4CB36E8FD82ADF1EB13CC05268FB3CA0A89A8AD3665C27A0ED2C","25821146FD00F2677F529FCE60B05F02758C7DFCE1E0FABC7CE83024A30F4A40","n/a"
"c:\windows\system32\advapi32.dll","Signed","5:47 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Advanced Windows 32 Base API","Microsoft® Windows® Operating System","6.1.7601.24520","6.1.7601.24520 (win7sp1_ldr_escrow.190828-1732)","64-bit","E13301EE0A85305425863C756F2D882F","CCE3AF6D9F93E2F271A25BE5A35E22B6A6C46DC3","C3426D47E8F6F35AD7B841D1B5701CDC5873D5ED","C6EE880834C475FA7E8BB868FCBEDF9F6F9DF10B4F4B4F6109F78A15CBCAFE99","469A116ED283B9817336EDD8835A06EBB36679D835173FF82F3E86B20911A1D8","7AF7D7D1351B83D1970E8CEF053E30E6"
